タイトル,発売日,カテゴリ,リンク種別,URL
"Passion & Pride: Anthems with Attitude from the Sonic Adventure Era","2014.09.10","sonic","外部","http://sonic.sega.jp/SonicChannelOld/topics/sound/140901/"
"SONIC AND SEGA ALL-STAR RACING TRANSFORMED Original Soundtrack","2014.05.28","sonic","外部","https://www.amazon.co.jp/dp/B00IUCKVIG"
"SONIC LOST WORLD ORIGINAL SOUNDTRACK WITHOUT BOUNDARIES","2013.11.27","sonic","外部","https://www.amazon.co.jp/dp/B00F34CXLW"
"SONIC THE HEDGEHOG 4 EPISODE I/II オリジナルサウンドトラック","2012.08.01","sonic","外部","https://www.amazon.co.jp/dp/B0089F2S80"
"SONIC GENERATIONS Original Soundtrack : Blue Blur","2012.01.11","sonic","なし",""
"HISTORY OF SONIC MUSIC 20th Anniversary Edition","2011.12.07","sonic","なし",""
"SONIC THE HEDGEHOG CD Original Soundtrack 20th Anniversary Edition","2011.11.23","sonic","なし",""
"SONIC HEROES Original Soundtrack 20th Anniversary Edition","2011.08.24","sonic","なし",""
"SONIC ADVENTURE 2 Original Soundtrack 20th Anniversary Edition","2011.06.22","sonic","なし",""
"SONIC ADVENTURE Original Soundtrack 20th Anniversary Edition","2011.05.18","sonic","なし",""
"SONIC COLORS ORIGINAL SOUNDTRACK ViViD SOUND × HYBRiD COLORS","2010.12.22","sonic","なし",""
"TRUE COLORS - THE BEST OF SONIC THE HEDGEHOG Part.2 -","2009.12.16","sonic","なし",""
"THE BEST OF CRUSH 40 - SUPER SONIC SONGS","2009.11.18","sonic","なし",""
"JUN SENOUE / THE WORKS","2009.10.21","sonic","なし",""
"ソニックと暗黒の騎士 ORIGINAL SOUNDTRACK TALES OF KNIGHTHOOD","2009.04.08","sonic","外部","https://www.amazon.co.jp/dp/B001TITJZY"
"ソニックと暗黒の騎士 FACE TO FAITH VOCAL TRAX","2009.04.08","sonic","外部","https://www.amazon.co.jp/dp/B001TITJZO"
"SONIC WORLD ADVENTURE ORIGINAL SOUNDTRACK PLANETARY PIECES","2009.01.28","sonic","外部","https://www.amazon.co.jp/dp/B001JI46YS"
"TRUE BLUE: THE BEST OF SONIC THE HEADGEHOG VOCAL COLLECTION","2008.01.23","sonic","外部","https://www.amazon.co.jp/dp/B000WZO662"
"『ソニックライダーズ シューティングスターストーリー』オリジナルサウンドトラック""Zero Gravity Tracks""","2008.01.17","sonic","外部","http://ebten.jp/sega/p/4571164389578/"
"ソニックと秘密のリング SEVEN RINGS IN HAND","2007.03.15","sonic","外部","http://ebten.jp/sega/p/4571164389295/"
"SONIC THE HEDGEHOG ORIGINAL SOUND TRACK","2007.01.10","sonic","外部","http://ebten.jp/sega/p/4571164389240/"
